analysis,method,scope,cohort,n,responders,auroc,auprc,balanced_accuracy,brier,prevalence,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,bootstrap_valid
four_cohort_loco,hallmark_common,pooled_loco,ALL,239,80,0.6082547169811321,0.37625067798434014,0.6172562893081761,0.25959438555426756,0.33472803347280333,0.5424543180912753,0.6834930675233587,0.3108429315003185,0.48433166961388957,1000
four_cohort_loco,raw_common_topvar,pooled_loco,ALL,239,80,0.6672169811320755,0.47011454075871917,0.592374213836478,0.2408260537716144,0.33472803347280333,0.5994354266191493,0.7364990834978383,0.3774114039716047,0.5915120091276352,1000
four_cohort_loco,txn_completed_hallmark,pooled_loco,ALL,239,80,0.6069182389937107,0.3756431825432137,0.6172562893081761,0.2634258576491787,0.33472803347280333,0.5398498520817879,0.681635856880611,0.30936217763535384,0.4822340784450285,1000
four_cohort_loco,txn_completed_topvar,pooled_loco,ALL,239,80,0.6590408805031447,0.46152922172442806,0.5985849056603774,0.24532799158606378,0.33472803347280333,0.5895866889059871,0.727487080103359,0.36938836475890385,0.5788382983203307,1000
four_cohort_loco,txn_context_mean,pooled_loco,ALL,239,80,0.4623427672955975,0.29842103362964467,0.4460691823899371,0.42330019691561865,0.33472803347280333,0.39028148611223146,0.535536746040767,0.24361130942165773,0.3764251427243582,1000
four_cohort_loco,txn_hidden_all,pooled_loco,ALL,239,80,0.36808176100628937,0.2638180634921944,0.4495283018867925,0.3859549444674279,0.33472803347280333,0.2942069648456841,0.4369195862855715,0.21189132477381017,0.3336977938043334,1000
melanoma_loco,hallmark_common,pooled_loco,ALL,150,64,0.3690043604651163,0.3516254993467228,0.4405886627906977,0.28750605379417027,0.4266666666666667,0.2819967104389181,0.4617785649523736,0.27991120272348496,0.45574898620889154,1000
melanoma_loco,raw_common_topvar,pooled_loco,ALL,150,64,0.5345203488372092,0.46056297738824786,0.5337936046511628,0.33105736604073216,0.4266666666666667,0.438056793174349,0.6298756135351543,0.35911910379561834,0.5864364892381463,1000
melanoma_loco,txn_completed_hallmark,pooled_loco,ALL,150,64,0.3695494186046512,0.35185580655684734,0.4405886627906977,0.28784739259402425,0.4266666666666667,0.28164474339223206,0.46297678673319087,0.2801288594242906,0.4558739388750474,1000
melanoma_loco,txn_completed_topvar,pooled_loco,ALL,150,64,0.4602107558139535,0.41130980805668027,0.4845566860465116,0.35675211023573233,0.4266666666666667,0.3621417906566999,0.556493524901287,0.3165150758285512,0.5275773414639263,1000
melanoma_loco,txn_context_mean,pooled_loco,ALL,150,64,0.34593023255813954,0.33570978128312307,0.40570494186046513,0.5530825018568774,0.4266666666666667,0.25620203520776524,0.43823483711693506,0.26148832246684284,0.43287023425402,1000
melanoma_loco,txn_hidden_all,pooled_loco,ALL,150,64,0.5241642441860465,0.4163088227745777,0.4816497093023256,0.36490220191967676,0.4266666666666667,0.4298715667691868,0.6165023110159139,0.33364870634400795,0.5322379976593142,1000
